Country,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Botswana,Botswana,99.8,99.7,99.6,99.5,99.4,99.3,99.06,98.82,98.58,98.34,98.1,97.62,97.14,96.66,96.18,95.7,94.92,94.14,93.36,92.58,91.8,90.84,89.88,88.92,87.96,87.0,85.84,84.68,83.52,82.36,81.2,80.28,79.36,78.44,77.52,76.6,75.18,73.76,72.34,70.92,69.5,67.34,65.18,63.02,60.86,58.7,57.62,56.54,55.46,54.38,53.3,51.54,49.78,48.02,46.26,44.5
Brazil,Brazil,96.9,96.62,96.34,96.06,95.78,95.5,95.04,94.58,94.12,93.66,93.2,92.48,91.76,91.04,90.32,89.6,88.62,87.64,86.66,85.68,84.7,83.52,82.34,81.16,79.98,78.8,77.52,76.24,74.96,73.68,72.4,71.0,69.6,68.2,66.8,65.4,63.96,62.52,61.08,59.64,58.2,56.7,55.2,53.7,52.2,50.7,49.62,48.54,47.46,46.38,45.3,44.1,42.9,41.7,40.5,39.3
Brunei,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42,16.84,25.26,33.68,42.1
Bulgaria,Bulgaria,65.3,63.7,62.1,60.5,58.9,57.3,56.1,54.9,53.7,52.5,51.3,50.54,49.78,49.02,48.26,47.5,46.7,45.9,45.1,44.3,43.5,42.68,41.86,41.04,40.22,39.4,38.64,37.88,37.12,36.36,35.6,35.06,34.52,33.98,33.44,32.9,32.68,32.46,32.24,32.02,31.8,31.86,31.92,31.98,32.04,32.1,32.42,32.74,33.06,33.38,33.7,31.84,29.98,28.12,26.26,24.4
Burkina Faso,Burkina Faso,100.1,100.06,100.02,99.98,99.94,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.78,99.76,99.74,99.72,99.7,99.64,99.58,99.52,99.46,99.4,99.32,99.24,99.16,99.08,99.0,99.02,99.04,99.06,99.08,99.1,98.6,98.1,97.6,97.1,96.6,96.12,95.64,95.16,94.68,94.2
Burundi,Burundi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.66,99.52,99.38,99.24,99.1,98.96,98.82,98.68,98.54,98.4,98.24,98.08,97.92,97.76,97.6,97.6,97.6,97.6,97.6,97.6,96.96,96.32,95.68,95.04,94.4
Cambodia,Cambodia,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.58,99.56,99.54,99.52,99.5,99.48,99.46,99.44,99.42,99.4,99.3,99.2,99.1,99.0,98.9,98.4,97.9,97.4,96.9,96.4,96.0,95.6,95.2,94.8,94.4,94.1,93.8,93.5,93.2,92.9,92.34,91.78,91.22,90.66,90.1,88.94,87.78,86.62,85.46,84.3
Cameroon,Cameroon,99.8,99.8,99.8,99.8,99.8,99.8,99.72,99.64,99.56,99.48,99.4,99.24,99.08,98.92,98.76,98.6,98.38,98.16,97.94,97.72,97.5,97.24,96.98,96.72,96.46,96.2,95.76,95.32,94.88,94.44,94.0,93.42,92.84,92.26,91.68,91.1,90.32,89.54,88.76,87.98,87.2,86.12,85.04,83.96,82.88,81.8,81.08,80.36,79.64,78.92,78.2,77.48,76.76,76.04,75.32,74.6
Canada,Canada,51.3,50.1,48.9,47.7,46.5,45.3,44.44,43.58,42.72,41.86,41.0,40.28,39.56,38.84,38.12,37.4,36.72,36.04,35.36,34.68,34.0,33.3,32.6,31.9,31.2,30.5,29.92,29.34,28.76,28.18,27.6,27.18,26.76,26.34,25.92,25.5,25.14,24.78,24.42,24.06,23.7,23.32,22.94,22.56,22.18,21.8,21.56,21.32,21.08,20.84,20.6,19.4,18.2,17.0,15.8,14.6
Cape Verde,Cape Verde,99.9,99.9,99.9,99.9,99.9,99.9,99.86,99.82,99.78,99.74,99.7,99.64,99.58,99.52,99.46,99.4,99.3,99.2,99.1,99.0,98.9,98.72,98.54,98.36,98.18,98.0,97.8,97.6,97.4,97.2,97.0,96.62,96.24,95.86,95.48,95.1,94.3,93.5,92.7,91.9,91.1,90.3,89.5,88.7,87.9,87.1,86.82,86.54,86.26,85.98,85.7,85.16,84.62,84.08,83.54,83.0
Central African Republic,Central African Republic,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.88,99.76,99.64,99.52,99.4,99.46,99.52,99.58,99.64,99.7,99.74,99.78,99.82,99.86,99.9,99.88,99.86,99.84,99.82,99.8,99.72,99.64,99.56,99.48,99.4,99.04,98.68,98.32,97.96,97.6,97.28,96.96,96.64,96.32,96.0,95.66,95.32,94.98,94.64,94.3,93.94,93.58,93.22,92.86,92.5
Chad,Chad,100.1,100.08,100.06,100.04,100.02,100.0,99.98,99.96,99.94,99.92,99.9,99.94,99.98,100.02,100.06,100.1,100.06,100.02,99.98,99.94,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.72,99.64,99.56,99.48,99.4,99.36,99.32,99.28,99.24,99.2,99.02,98.84,98.66,98.48,98.3,97.8,97.3,96.8,96.3,95.8
Channel Islands,Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,6.84,10.26,13.68,17.1
Chile,Chile,88.3,87.52,86.74,85.96,85.18,84.4,83.32,82.24,81.16,80.08,79.0,77.72,76.44,75.16,73.88,72.6,71.26,69.92,68.58,67.24,65.9,64.7,63.5,62.3,61.1,59.9,58.92,57.94,56.96,55.98,55.0,54.28,53.56,52.84,52.12,51.4,50.72,50.04,49.36,48.68,48.0,46.56,45.12,43.68,42.24,40.8,39.36,37.92,36.48,35.04,33.6,32.16,30.72,29.28,27.84,26.4
China,China,98.7,98.44,98.18,97.92,97.66,97.4,96.98,96.56,96.14,95.72,95.3,94.52,93.74,92.96,92.18,91.4,90.52,89.64,88.76,87.88,87.0,86.66,86.32,85.98,85.64,85.3,84.84,84.38,83.92,83.46,83.0,81.84,80.68,79.52,78.36,77.2,75.64,74.08,72.52,70.96,69.4,68.04,66.68,65.32,63.96,62.6,61.16,59.72,58.28,56.84,55.4,53.62,51.84,50.06,48.28,46.5
Colombia,Colombia,98.0,97.72,97.44,97.16,96.88,96.6,96.08,95.56,95.04,94.52,94.0,93.2,92.4,91.6,90.8,90.0,88.82,87.64,86.46,85.28,84.1,82.66,81.22,79.78,78.34,76.9,75.44,73.98,72.52,71.06,69.6,67.94,66.28,64.62,62.96,61.3,59.22,57.14,55.06,52.98,50.9,49.18,47.46,45.74,44.02,42.3,41.38,40.46,39.54,38.62,37.7,36.78,35.86,34.94,34.02,33.1
Comoros,Comoros,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.64,99.48,99.32,99.16,99.0,98.66,98.32,97.98,97.64,97.3,97.06,96.82,96.58,96.34,96.1,95.92,95.74,95.56,95.38,95.2,94.7,94.2,93.7,93.2,92.7,91.84,90.98,90.12,89.26,88.4,87.04,85.68,84.32,82.96,81.6,79.34,77.08,74.82,72.56,70.3
"Congo, Rep.",Congo,99.9,99.86,99.82,99.78,99.74,99.7,99.58,99.46,99.34,99.22,99.1,98.94,98.78,98.62,98.46,98.3,97.92,97.54,97.16,96.78,96.4,95.98,95.56,95.14,94.72,94.3,93.86,93.42,92.98,92.54,92.1,91.48,90.86,90.24,89.62,89.0,88.92,88.84,88.76,88.68,88.6,88.88,89.16,89.44,89.72,90.0,89.9,89.8,89.7,89.6,89.5,88.2,86.9,85.6,84.3,83.0
Costa Rica,Costa Rica,94.6,93.98,93.36,92.74,92.12,91.5,90.68,89.86,89.04,88.22,87.4,86.46,85.52,84.58,83.64,82.7,81.76,80.82,79.88,78.94,78.0,77.28,76.56,75.84,75.12,74.4,73.94,73.48,73.02,72.56,72.1,71.4,70.7,70.0,69.3,68.6,67.76,66.92,66.08,65.24,64.4,63.4,62.4,61.4,60.4,59.4,58.24,57.08,55.92,54.76,53.6,52.44,51.28,50.12,48.96,47.8
Cote d'Ivoire,Cote d'Ivoire,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.52,99.44,99.36,99.28,99.2,99.1,99.0,98.9,98.8,98.7,98.52,98.34,98.16,97.98,97.8,97.4,97.0,96.6,96.2,95.8,95.14,94.48,93.82,93.16,92.5,91.74,90.98,90.22,89.46,88.7
